title,original_title,budget,genres,language,spoken_languages,homepage,overview,popularity,runtime,revenue,release_date,vote_average,vote_count,production_countries,web_url,snippet,source,keywords,pub_date,word_count,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.organization
A Thousand and One,A Thousand and One,0,"{id: 18, name: Drama}, {id: 80, name: Crime}",en,"{english_name: English, iso_639_1: en, name: English}, {english_name: Spanish, iso_639_1: es, name: Español}, {english_name: Portuguese, iso_639_1: pt, name: Português}",https://www.focusfeatures.com/a-thousand-and-one/,"Struggling but unapologetically living on her own terms, Inez is moving from shelter to shelter in mid-1990s New York City. With her 6-year-old son Terry in foster care and unable to leave him again, she kidnaps him so they can build their life together. As the years go by, their family grows and Terry becomes a smart yet quiet teenager, but the secret that has defined their lives threatens to destroy the home they have so improbably built.",12.064,116,3395595,2023-03-31,6.864,91,"{iso_3166_1: US, name: United States of America}",https://www.nytimes.com/2023/03/30/movies/a-thousand-and-one-review.html,"A mesmerizing Teyana Taylor stars in A.V. Rockwell’s feature directing debut, about motherhood and survival in a fast-changing city.",The New York Times,"subject: Movies;creative_works: A Thousand and One (Movie);persons: Rockwell, AV (Film Director);persons: Taylor, Teyana (1990- );",2023-03-30T18:53:42+0000,971,‘A Thousand and One’ Review: A New York Love Story,Critic’s Pick,,An Unbending Will Meets a Shifting City,,,,By Manohla Dargis,
Thor: Love and Thunder,Thor: Love and Thunder,250000000,"{id: 14, name: Fantasy}, {id: 28, name: Action}, {id: 35, name: Comedy}",en,"{english_name: English, iso_639_1: en, name: English}",https://www.marvel.com/movies/thor-love-and-thunder,"After his retirement is interrupted by Gorr the God Butcher, a galactic killer who seeks the extinction of the gods, Thor Odinson enlists the help of King Valkyrie, Korg, and ex-girlfriend Jane Foster, who now wields Mjolnir as the Mighty Thor. Together they embark upon a harrowing cosmic adventure to uncover the mystery of the God Butcher’s vengeance and stop him before it’s too late.",119.543,119,760900000,2022-07-06,6.448,7394,"{iso_3166_1: US, name: United States of America}",https://www.nytimes.com/2022/07/07/movies/thor-love-and-thunder-review.html,"The director Taika Waititi injects antic silliness, once again, into this Marvel franchise starring Chris Hemsworth, who swings a mighty hammer and flexes mightier muscles.",The New York Times,"subject: Movies;organizations: Marvel Studios;persons: Bale, Christian;persons: Crowe, Russell;persons: Hemsworth, Chris;persons: Waititi, Taika;persons: Thompson, Tessa;persons: Portman, Natalie;",2022-07-07T18:26:10+0000,942,‘Thor: Love and Thunder’ Review: A God’s Comic Twilight,,,"He’s Still a Norse God, But Also a Big Old Goof",,,,By Manohla Dargis,
See You Then,See You Then,0,"{id: 18, name: Drama}",en,"{english_name: English, iso_639_1: en, name: English}",https://vanishingangle.com/see-you-then,"A decade after abruptly breaking up with Naomi, Kris invites her to a dinner to catch-up on their complicated lives, relationships, and Kris' transition.",3.039,74,0,2022-04-01,3.3,5,"{iso_3166_1: US, name: United States of America}",https://www.nytimes.com/2022/04/18/movies/see-you-then-review.html,"Former lovers reconnect, litigating the past and present, in this drama from Mari Walker.",The New York Times,"subject: Movies;creative_works: See You Then (Movie);persons: Walker, Mari;",2022-04-18T11:00:03+0000,300,‘See You Then’ Review: The More Things Stay the Same,,,The Persistent Melancholy of Love,,,,By Kyle Turner,
A Journal for Jordan,A Journal for Jordan,25000000,"{id: 18, name: Drama}, {id: 10749, name: Romance}",en,"{english_name: English, iso_639_1: en, name: English}",https://www.sonypictures.com/movies/ajournalforjordan,"Based on the true story of First Sergeant Charles Monroe King, a soldier deployed to Iraq begins to keep a journal of love and advice for his infant son. Back at home, senior New York Times editor Dana Canedy revisits the story of her unlikely, life-altering relationship with King and his enduring devotion to her and their child.",13.839,131,6700000,2021-12-22,7.0,110,"{iso_3166_1: CA, name: Canada}, {iso_3166_1: US, name: United States of America}",https://www.nytimes.com/2021/12/23/movies/a-journal-for-jordan-review.html,The actors Michael B. Jordan and Chanté Adams bring a compelling chemistry to the screen as opposites who fall for each other.,The New York Times,"subject: Movies;creative_works: A Journal for Jordan (Movie);persons: Washington, Denzel;persons: Jordan, Michael B;persons: Adams, Chante;subject: Books and Literature;creative_works: A Journal for Jordan: A Story of Love and Honor (Book);persons: Canedy, Dana;subject: Black People;subject: Blacks;",2021-12-23T18:54:12+0000,505,‘A Journal for Jordan’ Review: Reflections on Love Built and Lost,,,Reflections on Love That’s Built and Lost,,,,By Lisa Kennedy,
West Side Story,West Side Story,6000000,"{id: 80, name: Crime}, {id: 18, name: Drama}, {id: 10749, name: Romance}",en,"{english_name: English, iso_639_1: en, name: English}, {english_name: Spanish, iso_639_1: es, name: Español}",,"In the slums of the upper West Side of Manhattan, New York, a gang of Polish-American teenagers called the Jets compete with a rival gang of recently immigrated Puerto Ricans, the Sharks, to ""own"" the neighborhood streets. Tensions are high between the gangs but two romantics, one from each gang, fall in love leading to tragedy.",20.239,153,43700000,1961-12-13,7.3,1840,"{iso_3166_1: US, name: United States of America}",https://www.nytimes.com/2021/12/08/movies/west-side-story-review.html,"Steven Spielberg rediscovers the breathing, troubling essence of a classic, building a bold and current screen musical with no pretense to perfection.",The New York Times,"subject: Movies;subject: Theater;persons: Alvarez, David (1994- );persons: Bernstein, Leonard;persons: DeBose, Ariana;persons: Kushner, Tony;persons: Laurents, Arthur;persons: Peck, Justin;persons: Robbins, Jerome;persons: Sondheim, Stephen;persons: Spielberg, Steven;persons: Tesori, Jeanine;glocations: New York City;creative_works: West Side Story (2021) (Movie);",2021-12-08T14:55:30+0000,1316,"‘West Side Story’ Review: In Love and War, 1957 Might Be Tonight",Critic’s Pick,,"Meeting a Girl Named Maria, Again",,,,By A.O. Scott,
Bergman Island,Bergman Island,0,"{id: 18, name: Drama}, {id: 10749, name: Romance}",en,"{english_name: German, iso_639_1: de, name: Deutsch}, {english_name: English, iso_639_1: en, name: English}, {english_name: Swedish, iso_639_1: sv, name: svenska}",https://www.ifcfilms.com/films/bergman-island,"An English-German filmmaking couple retreat to Fårö for the summer to each write screenplays for their upcoming films in an act of pilgrimage to the place that inspired Ingmar Bergman. As the summer and their screenplays advance, the lines between reality and fiction start to blur against the backdrop of the Island's wild landscape.",14.943,113,589895,2021-07-14,6.2,191,"{iso_3166_1: BE, name: Belgium}, {iso_3166_1: FR, name: France}, {iso_3166_1: DE, name: Germany}, {iso_3166_1: MX, name: Mexico}, {iso_3166_1: SE, name: Sweden}",https://www.nytimes.com/2021/10/14/movies/bergman-island-review.html,"In Mia Hansen-Love’s new film, Vicky Krieps and Tim Roth play filmmakers on the rocks in the Baltic Sea.",The New York Times,"subject: Movies;persons: Bergman, Ingmar;persons: Roth, Tim;persons: Wasikowska, Mia;persons: Hansen-Love, Mia;creative_works: Bergman Island (Movie);persons: Krieps, Vicky;",2021-10-14T16:00:06+0000,888,‘Bergman Island’ Review: Love Among the Cinephiles,critic’s pick,,Scenes From Not Quite a Marriage,,,,By A.O. Scott,
Hard Luck Love Song,Hard Luck Love Song,0,"{id: 10749, name: Romance}, {id: 10402, name: Music}, {id: 18, name: Drama}, {id: 53, name: Thriller}",en,"{english_name: English, iso_639_1: en, name: English}, {english_name: Spanish, iso_639_1: es, name: Español}",http://HardLuckLoveSong.com,"Jesse, a charismatic but down on his luck troubadour, finds himself at an existential crossroads as bad choices catch up with him during an unexpected reunion with Carla, an old flame.",3.902,104,0,2021-10-15,4.3,12,"{iso_3166_1: US, name: United States of America}",https://www.nytimes.com/2021/10/14/movies/hard-luck-love-song-review.html,"Drawn from the plotline of a Todd Snider song, the film follows a pool shark and an escort, taking twists that are both violent and silly.",The New York Times,"subject: Movies;persons: Dorman, Michael (1981- );creative_works: Hard Luck Love Song (Movie);persons: Bush, Sophia (1982- );",2021-10-14T12:27:03+0000,320,‘Hard Luck Love Song’ Review: A Glossy Take on a Gritty Tune,,,Hard Luck Love Song,,,,By Glenn Kenny,
Annette,Annette,15500000,"{id: 18, name: Drama}, {id: 10749, name: Romance}",fr,"{english_name: English, iso_639_1: en, name: English}, {english_name: French, iso_639_1: fr, name: Français}",https://www.amazon.com/dp/B093KHDSHR,"The story of Henry, a stand-up comedian with a fierce sense of humour and Ann, a singer of international renown. In the spotlight, they are the perfect couple, healthy, happy, and glamourous. The birth of their first child, Annette, a mysterious girl with an exceptional destiny, will change their lives.",13.484,140,3700000,2021-07-07,6.739,666,"{iso_3166_1: BE, name: Belgium}, {iso_3166_1: FR, name: France}, {iso_3166_1: DE, name: Germany}, {iso_3166_1: GR, name: Greece}, {iso_3166_1: JP, name: Japan}, {iso_3166_1: MX, name: Mexico}, {iso_3166_1: CH, name: Switzerland}",https://www.nytimes.com/2021/08/05/movies/annette-review.html,"Adam Driver and Marion Cotillard are star-crossed lovers in this hallucinatory musical, written by Sparks and directed by Leos Carax.",The New York Times,"subject: Movies;persons: Carax, Leos;persons: Cotillard, Marion;persons: Driver, Adam;persons: Mael, Ron;persons: Mael, Russell;creative_works: Annette (Movie);organizations: Sparks (Music Group);",2021-08-05T11:00:07+0000,1069,‘Annette’ Review: Love Hurts,Critic’s Pick,,A Star Is Born. You Won’t Like Him.,,,,By A.O. Scott,
Finding You,Finding You,0,"{id: 10749, name: Romance}, {id: 18, name: Drama}",en,"{english_name: English, iso_639_1: en, name: English}",https://www.findingyouthemovie.com,"Finley, a talented aspiring violinist, meets Beckett, a famous young movie star, on the way to her college semester abroad program in a small coastal village in Ireland. An unexpected romance emerges as the heartthrob Beckett leads the uptight Finley on an adventurous reawakening, and she emboldens him to take charge of his future, until the pressures of his stardom get in the way.",15.3,119,3300000,2021-05-13,6.858,179,"{iso_3166_1: US, name: United States of America}",https://www.nytimes.com/2021/05/13/arts/finding-you-review.html,"In this dull young adult romance, a violinist spends a semester abroad in Ireland and meets a famous dreamboat.",The New York Times,"subject: Movies;persons: Redgrave, Vanessa;creative_works: Finding You (Movie);persons: Baugh, Brian (Film Director);persons: Goodacre, Jedidiah;persons: Reid, Rose (Actor);",2021-05-13T11:00:05+0000,306,‘Finding You’ Review: A Fiddler Falls in Love,,,Finding You,,,,By Beatrice Loayza,
Monday,Monday,0,"{id: 18, name: Drama}, {id: 10749, name: Romance}",en,"{english_name: English, iso_639_1: en, name: English}, {english_name: Greek, iso_639_1: el, name: ελληνικά}",https://www.monday.movie,"A spark on a Friday can lead to a sizzling weekend fling, but what happens when you get to the inevitable Monday?",9.303,116,0,2020-09-11,6.625,161,"{iso_3166_1: GR, name: Greece}, {iso_3166_1: GB, name: United Kingdom}, {iso_3166_1: US, name: United States of America}",https://www.nytimes.com/2021/04/15/movies/monday-review.html,"Fiery physical contact keeps an expat couple together in Greece, and the sex scenes are enough for a half-dozen movies.",The New York Times,"subject: Movies;persons: Papadimitropoulos, Argyris;persons: Stan, Sebastian;persons: Gough, Denise (1980- );creative_works: Monday (Movie);",2021-04-15T11:00:08+0000,349,‘Monday’ Review: A Year of Love and Its Hangovers,,,Monday,,,,By Glenn Kenny,
Happily,Happily,0,"{id: 35, name: Comedy}, {id: 10749, name: Romance}, {id: 878, name: Science Fiction}, {id: 53, name: Thriller}",en,"{english_name: English, iso_639_1: en, name: English}",https://www.commonwall.com/films/happily,"Tom and Janet have been happily married for years. But a visit from a mysterious stranger leads to a dead body, a lot of questions, and a tense couples' trip with friends who may not actually be friends at all.",9.742,96,0,2021-03-19,5.698,110,"{iso_3166_1: US, name: United States of America}",https://www.nytimes.com/2021/03/18/movies/happily-review.html,"In this keeps-you-guessing comedy, Joel McHale and Kerry Bishé play a couple married for 14 years whose mutual passion is undimmed, to the annoyance of their friends.",The New York Times,"subject: Movies;creative_works: Happily (Movie);persons: Grabinski, BenDavid;",2021-03-18T11:00:06+0000,344,‘Happily’ Review: Does Long-Lived Love Mean You Need Treatment?,,,Happily,,,,By Glenn Kenny,
Young Hearts,Young Hearts,0,"{id: 18, name: Drama}, {id: 10751, name: Family}",nl,"{english_name: French, iso_639_1: fr, name: Français}, {english_name: Dutch, iso_639_1: nl, name: Nederlands}",https://www.polar-bear.tv/young-hearts,"Fourteen-year-old Elias increasingly feels like an outsider in his village. When he meets his new neighbour of the same age, Alexander, Elias is confronted with his burgeoning sexuality.",20.88,97,0,2025-01-16,0.0,0,"{iso_3166_1: BE, name: Belgium}, {iso_3166_1: NL, name: Netherlands}",https://www.nytimes.com/2021/02/11/movies/young-hearts-review.html,"The brother and sister filmmakers Sarah Sherman and Zachary Ray Sherman deliver romance, unadorned.",The New York Times,"subject: Movies;creative_works: Young Hearts (Movie);persons: Sherman, Sarah (Film Director);persons: Sherman, Zachary Ray (1984- );",2021-02-11T12:00:06+0000,324,‘Young Hearts’ Review: Movie Love by Algorithm,,,Young Hearts,,,,By Kristen Yoonsoo Kim,
Little Fish,Little Fish,0,"{id: 10749, name: Romance}, {id: 878, name: Science Fiction}, {id: 18, name: Drama}",en,"{english_name: English, iso_639_1: en, name: English}",https://www.littlefish.movie,A couple fights to hold their relationship together as a memory loss virus spreads and threatens to erase the history of their love and courtship.,13.984,101,39053,2021-02-05,7.01,195,"{iso_3166_1: CA, name: Canada}, {iso_3166_1: US, name: United States of America}",https://www.nytimes.com/2021/02/04/movies/little-fish-review.html,This sci-fi romance imagines a world with widespread memory loss through the eyes of one couple.,The New York Times,"subject: Movies;creative_works: Little Fish (Movie);persons: Hartigan, Chad;",2021-02-04T12:00:06+0000,315,‘Little Fish’ Review: Do You Remember Love?,,,Little Fish,,,,By Kristen Yoonsoo Kim,
Two of Us,Two of Us,0,"{id: 18, name: Drama}, {id: 53, name: Thriller}",tl,"{english_name: Tagalog, iso_639_1: tl, name: }",,"Empress Schuck and Ejay Falcon star in this psychological thriller as two people who find each other while trying to make a living in a foreign country. But as time passes, underneath the sweet moments lie a toxic relationship that sparks violent tendencies.",2.523,103,0,2024-04-10,0.0,0,"{iso_3166_1: PH, name: Philippines}",https://www.nytimes.com/2021/02/04/movies/two-of-us-review-thwarted-love.html,An older lesbian couple is met with unexpected devastation in this aching romantic drama by Filippo Meneghetti.,The New York Times,"subject: Movies;persons: Sukowa, Barbara;creative_works: Two of Us (Movie);persons: Meneghetti, Filippo;",2021-02-04T12:00:03+0000,313,‘Two of Us’ Review: Thwarted Love,,,Two of Us,,,,By Beatrice Loayza,
Wild Mountain Thyme,Wild Mountain Thyme,0,"{id: 10749, name: Romance}, {id: 18, name: Drama}",en,"{english_name: English, iso_639_1: en, name: English}",,"Headstrong farmer Rosemary Muldoon has her heart set on winning her neighbour Anthony Reilly's love. The problem is, Anthony seems to have inherited a family curse, and remains oblivious to his beautiful admirer. Stung by his father's plans to sell the family farm to his American nephew, Anthony is jolted into pursuing his dreams.",14.751,102,0,2020-12-11,5.2,173,"{iso_3166_1: IE, name: Ireland}, {iso_3166_1: GB, name: United Kingdom}",https://www.nytimes.com/2020/12/10/movies/wild-mountain-thyme-review.html,John Patrick Shanley adapts his play “Outside Mullingar” into a movie. (Don’t worry about the accents.),The New York Times,"subject: Movies;persons: Shanley, John Patrick;persons: Blunt, Emily;persons: Dornan, Jamie;creative_works: Outside Mullingar (Play);creative_works: Wild Mountain Thyme (Movie);",2020-12-10T12:00:04+0000,341,‘Wild Mountain Thyme’ Review: Finding Love Down on the Farm,,,Wild Mountain Thyme,,,,By Glenn Kenny,
