title,original_title,budget,genres,language,spoken_languages,homepage,overview,popularity,runtime,revenue,release_date,vote_average,vote_count,production_countries,web_url,snippet,source,keywords,pub_date,word_count,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.organization
Ammonite,Ammonite,0,"{id: 10749, name: Romance}, {id: 18, name: Drama}",en,"{english_name: English, iso_639_1: en, name: English}",https://www.ammonite-movie.com,"In 1840s England, palaeontologist Mary Anning and a young woman sent by her husband to convalesce by the sea develop an intense relationship. Despite the chasm between their social spheres and personalities, Mary and Charlotte discover they can each offer what the other has been searching for: the realisation that they are not alone. It is the beginning of a passionate and all-consuming love affair that will defy all social bounds and alter the course of both lives irrevocably.",15.241,118,1396905,2020-11-13,6.994,554,"{iso_3166_1: GB, name: United Kingdom}",https://www.nytimes.com/2020/11/12/movies/ammonite-review.html,Kate Winslet’s fossil hunter and Saoirse Ronan’s convalescent embark on a forbidden seaside romance.,The New York Times,"subject: Movies;persons: Ronan, Saoirse;persons: Winslet, Kate;persons: Lee, Francis (1969- );creative_works: Ammonite (Movie);",2020-11-12T12:00:04+0000,510,‘Ammonite’ Review: Love on the Rocks,Critic’s Pick,,Love on the Rocks,,,,By Jeannette Catsoulis,
Dick Johnson Is Dead,Dick Johnson Is Dead,0,"{id: 99, name: Documentary}",en,"{english_name: English, iso_639_1: en, name: English}",https://www.netflix.com/title/80234465,"With this inventive portrait, director Kirsten Johnson seeks a way to keep her 86-year-old father alive forever. Utilizing moviemaking magic and her family’s dark humor, she celebrates Dr. Dick Johnson’s last years by staging fantasies of death and beyond. Together, dad and daughter confront the great inevitability awaiting us all.",9.287,89,0,2020-01-23,7.2,124,"{iso_3166_1: US, name: United States of America}",https://www.nytimes.com/2020/10/01/movies/dick-johnson-is-dead-review.html,"With the help of her father, the documentary filmmaker Kirsten Johnson made a surprising, endearing movie about his death.",The New York Times,"creative_works: Dick Johnson Is Dead (Movie);subject: Documentary Films and Programs;persons: Johnson, Kirsten (1965- );creative_works: Cameraperson (Movie);subject: Death and Dying;",2020-10-01T11:00:08+0000,816,"‘Dick Johnson Is Dead’ Review: A Father’s Painful, Funny Goodbye",Critic’s pick,,A Love Letter Delivered Along With a Death Notice,,,,By Manohla Dargis,
Lungs,Lungs,0,"{id: 18, name: Drama}",en,,,"The ice caps are melting, there’s overpopulation, political unrest; everything’s going to hell in a handcart – why on earth would someone bring a baby into this world? Directed by Matthew Warchus, Claire Foy and Matt Smith perform a socially distanced version of Duncan Macmillan’s hilarious emotional rollercoaster of a play about a couple wrestling with life’s biggest dilemmas live from The Old Vic.",2.216,80,0,2020-06-26,8.0,3,"{iso_3166_1: GB, name: United Kingdom}",https://www.nytimes.com/2020/06/28/theater/lungs-review-claire-foy-matt-smith.html,"In Duncan Macmillan’s play, streaming live from the Old Vic, the stars of “The Crown” play a contradictory couple in an age of isolation.",The New York Times,"subject: Theater;creative_works: Lungs (Play);persons: Foy, Claire (1984- );persons: Smith, Matt (1982- );persons: Macmillan, Duncan;organizations: Old Vic Theater;persons: Warchus, Matthew;",2020-06-28T18:35:28+0000,1091,‘Lungs’ Review: Claire Foy and Matt Smith Chase Love in the Dark,critic’s pick,,Chasing Love in the Dark,,,,By Ben Brantley,
The Photograph,The Photograph,16000000,"{id: 18, name: Drama}, {id: 10749, name: Romance}",en,"{english_name: English, iso_639_1: en, name: English}",https://www.thephotographmovie.com/,"When famed photographer Christina Eames dies unexpectedly, she leaves her estranged daughter, Mae, hurt, angry and full of questions. When Mae finds a photograph tucked away in a safe-deposit box, she soon finds herself delving into her mother's early life -- an investigation that leads to an unexpected romance with a rising journalist.",16.398,106,20690779,2020-02-14,6.387,204,"{iso_3166_1: CA, name: Canada}, {iso_3166_1: US, name: United States of America}",https://www.nytimes.com/2020/02/13/movies/the-photograph-review.html,Issa Rae and a terrific Lakeith Stanfield play a New York couple whose romance sends them and the story into the past.,The New York Times,"subject: Movies;creative_works: The Photograph (Movie);persons: Meghie, Stella;persons: Rae, Issa;persons: Stanfield, Lakeith;",2020-02-13T20:54:33+0000,862,‘The Photograph’ Review: An Unabashedly Old-School Love Story,,,An Unabashedly Old-School Love Story,,,,By Manohla Dargis,
Ordinary Love,Ordinary Love,0,"{id: 18, name: Drama}, {id: 10749, name: Romance}",en,"{english_name: English, iso_639_1: en, name: English}",https://bleeckerstreetmedia.com/ordinary-love-film,An extraordinary look at the lives of a middle-aged couple in the midst of the wife's breast cancer diagnosis.,9.053,92,0,2019-12-06,6.877,134,"{iso_3166_1: IE, name: Ireland}, {iso_3166_1: GB, name: United Kingdom}",https://www.nytimes.com/2020/02/12/movies/ordinary-love-review.html,Lesley Manville and Liam Neeson play a married couple facing a cancer diagnosis.,The New York Times,"subject: Movies;creative_works: Ordinary Love (Movie);persons: Neeson, Liam;persons: Manville, Lesley;persons: D'Sa, Lisa Barros;persons: Leyburn, Glenn;",2020-02-12T19:46:45+0000,569,‘Ordinary Love’ Review: In Sickness and in Health,,,Old-Sweater Lives,,,,By A.O. Scott,
Medea,Medea,0,"{id: 18, name: Drama}, {id: 14, name: Fantasy}",it,"{english_name: Italian, iso_639_1: it, name: Italiano}",,"Based on the plot of Euripides' Medea. Medea centers on the barbarian protagonist as she finds her position in the Greek world threatened, and the revenge she takes against her husband Jason who has betrayed her for another woman.",9.313,118,0,1970-01-28,6.5,169,"{iso_3166_1: FR, name: France}, {iso_3166_1: DE, name: Germany}, {iso_3166_1: IT, name: Italy}",https://www.nytimes.com/2020/01/30/theater/medea-review.html,Simon Stone’s contemporary spin on the classic tale of marital vengeance feels more clinical than tragic.,The New York Times,"subject: Theater;creative_works: Medea (Play);persons: Byrne, Rose;persons: Cannavale, Bobby;persons: Stone, Simon (1984- );organizations: Brooklyn Academy of Music;persons: Euripides;",2020-01-31T02:45:06+0000,1062,"‘Medea’ Review: Rose Byrne and Bobby Cannavale, Torched by Love",,,Control Your Passions Or Others Pay a Price,,,,By Ben Brantley,
Marriage Story,Marriage Story,18000000,"{id: 18, name: Drama}",en,"{english_name: English, iso_639_1: en, name: English}",https://www.marriagestorymovie.com,"A stage director and an actress struggle through a grueling, coast-to-coast divorce that pushes them to their personal extremes.",21.128,137,2300000,2019-09-28,7.738,6823,"{iso_3166_1: GB, name: United Kingdom}",https://www.nytimes.com/2019/11/05/movies/marriage-story-review.html,"Adam Driver and Scarlett Johansson self-consciously uncouple in Noah Baumbach’s tender, stinging tale of divorce.",The New York Times,"subject: Movies;persons: Baumbach, Noah;creative_works: Marriage Story (Movie);persons: Driver, Adam;persons: Johansson, Scarlett;persons: ALDA, ALAN;persons: Dern, Laura;persons: Liotta, Ray;",2019-11-05T19:01:02+0000,1244,‘Marriage Story’ Review: Dance Me to the End of Love,critic’s pick,,"Friendly Split, Shattering Break",,,,By A.O. Scott,
Pretenders,Pretenders,0,"{id: 18, name: Drama}",en,"{english_name: English, iso_639_1: en, name: English}",,"A love triangle involving a photographer, a director and an actress.",5.591,95,0,2019-09-27,5.6,13,"{iso_3166_1: US, name: United States of America}",https://www.nytimes.com/2019/10/03/movies/pretenders-review.html,"Directed by James Franco and featuring James Franco, this film indulges in a distasteful brand of nostalgia.",The New York Times,"subject: Movies;persons: Franco, James;creative_works: Pretenders (Movie);",2019-10-03T11:00:07+0000,276,"‘Pretenders’ Review: A Little New Wave Love, a Lot of Misogyny",,,Pretenders,,,,By Glenn Kenny,
Hot Air,Hot Air,0,"{id: 18, name: Drama}",en,"{english_name: English, iso_639_1: en, name: English}",,A right-wing talk show host's life takes a sudden turn when his 16-year-old niece comes crashing into his life.,3.922,99,0,2018-04-10,5.184,19,"{iso_3166_1: US, name: United States of America}",https://www.nytimes.com/2019/08/22/movies/hot-air-review.html,Steve Coogan stars in this cumbersome political comedy.,The New York Times,"subject: Movies;persons: Coogan, Steve;persons: Coraci, Frank;creative_works: Hot Air (Movie);persons: Campbell, Neve;",2019-08-22T15:50:09+0000,266,‘Hot Air’ Review: A Right-Wing Radio Host Learns to Love Again,,,Hot Air,,,,By Bilge Ebiri,
"Love, Antosha","Love, Antosha",0,"{id: 99, name: Documentary}",en,"{english_name: English, iso_639_1: en, name: English}, {english_name: Russian, iso_639_1: ru, name: Pусский}",https://antonyelchindoc.com/,"From a prolific career in film and television, Anton Yelchin left an indelible legacy as an actor. Through his journals and other writings, his photography, the original music he wrote, and interviews with his family, friends, and colleagues, this film looks not just at Anton's impressive career, but at a broader portrait of the man.",6.945,92,0,2019-08-02,7.2,50,"{iso_3166_1: US, name: United States of America}",https://www.nytimes.com/2019/08/08/movies/love-anthosa-review.html,"Anton Yelchin, who played Chekov in the J.J. Abrams-produced “Star Trek” films, assembled an eclectic filmography before his death at 27 in 2016.",The New York Times,"subject: Documentary Films and Programs;creative_works: Love, Antosha (Movie);persons: Price, Garret;persons: Yelchin, Anton;",2019-08-08T09:00:10+0000,319,"‘Love, Antosha’ Review: A Heartbreaking Look at an Actor’s Too-Short Life",Critic’s Pick,,"Love, Antosha",,,,By Glenn Kenny,
Long Shot,Long Shot,40000000,"{id: 35, name: Comedy}, {id: 10749, name: Romance}",en,"{english_name: French, iso_639_1: fr, name: Français}, {english_name: English, iso_639_1: en, name: English}, {english_name: Swedish, iso_639_1: sv, name: svenska}",https://longshot.movie,"Journalist Fred Flarsky reunites with his childhood crush, Charlotte Field, now one of the most influential women in the world. As she prepares to make a run for the Presidency, Charlotte hires Fred as her speechwriter — much to the dismay of her trusted advisers.",21.417,125,0,2019-05-02,6.7,2617,"{iso_3166_1: US, name: United States of America}",https://www.nytimes.com/2019/05/02/movies/long-shot-review.html,The improbably yet perfectly paired stars play old friends who unexpectedly find love in this charming (and a bit vulgar) romantic comedy.,The New York Times,"subject: Movies;subject: Comedy and Humor;persons: Odenkirk, Bob;persons: Rogen, Seth;persons: Theron, Charlize;creative_works: Long Shot (Movie);persons: Levine, Jonathan A (1976- );",2019-05-02T17:43:25+0000,1025,‘Long Shot’ Review: Charlize Theron and Seth Rogen Give Good Heart,Critic’s Pick,,Beating the Odds for Love and Bliss,,,,By Manohla Dargis,
Ash Is Purest White,江湖儿女,0,"{id: 80, name: Crime}, {id: 10749, name: Romance}, {id: 18, name: Drama}",zh,"{english_name: Mandarin, iso_639_1: zh, name: 普通话}",,"Set in China's underworld, this tale of love and betrayal follows a dancer who fired a gun to protect her mobster boyfriend during a fight. On release from prison 5 years later, she sets out to find him.",19.866,136,0,2018-09-21,6.9,309,"{iso_3166_1: CN, name: China}, {iso_3166_1: FR, name: France}, {iso_3166_1: HK, name: Hong Kong}",https://www.nytimes.com/2019/03/13/movies/ash-is-purest-white-review.html,"In Jia Zhangke’s enthralling new feature, Zhao Tao and Liao Fan portray an underworld power couple at the mercy of time and fate.",The New York Times,subject: Movies;persons: Jia Zhang Ke;persons: Liao Fan (1974- );persons: Zhao Tao (1977- );creative_works: Ash Is Purest White (Movie);,2019-03-13T15:44:46+0000,911,‘Ash Is Purest White’ Review: Love Smolders and Crime Pays in a Changing China,Critic’s Pick,,"Gangsters’ Paradise Lost, in China",,,,By A.O. Scott,
Gloria Bell,Gloria Bell,0,"{id: 18, name: Drama}, {id: 10749, name: Romance}",en,"{english_name: English, iso_639_1: en, name: English}",https://a24films.com/films/gloria-bell,"Gloria is a free-spirited divorcée who spends her days at a straight-laced office job and her nights on the dance floor, joyfully letting loose at clubs around Los Angeles. After meeting Arnold on a night out, she finds herself thrust into an unexpected new romance, filled with both the joys of budding love and the complications of dating, identity, and family.",13.88,102,11145006,2019-03-07,6.0,309,"{iso_3166_1: CL, name: Chile}, {iso_3166_1: US, name: United States of America}",https://www.nytimes.com/2019/03/07/movies/gloria-bell-review.html,The Chilean writer-director Sebastián Lelio finds a perfect partner in Moore for this fantastic remake of his 2013 movie “Gloria.”,The New York Times,"subject: Movies;creative_works: Gloria Bell (Movie);persons: Moore, Julianne;persons: Turturro, John;persons: Lelio, Sebastian;",2019-03-07T18:49:47+0000,991,‘Gloria Bell’ Review: Love Is in the Air for a Transcendent Julianne Moore,Critic’s Pick,,"Love, and Some Laughter, Is in the Air",,,,By Manohla Dargis,
Cold War,Zimna wojna,4954500,"{id: 18, name: Drama}, {id: 10749, name: Romance}, {id: 10752, name: War}, {id: 10402, name: Music}",pl,"{english_name: German, iso_639_1: de, name: Deutsch}, {english_name: Croatian, iso_639_1: hr, name: Hrvatski}, {english_name: French, iso_639_1: fr, name: Français}, {english_name: Italian, iso_639_1: it, name: Italiano}, {english_name: Polish, iso_639_1: pl, name: Polski}, {english_name: Russian, iso_639_1: ru, name: Pусский}",https://www.curzonartificialeye.com/cold-war,"A man and a woman meet in the ruins of post-war Poland. With vastly different backgrounds and temperaments, they are fatally mismatched and yet drawn to each other.",17.49,88,18754051,2018-06-08,7.5,1442,"{iso_3166_1: FR, name: France}, {iso_3166_1: PL, name: Poland}, {iso_3166_1: GB, name: United Kingdom}",https://www.nytimes.com/2018/12/20/movies/cold-war-review.html,"In post-World War II Poland, a singer and a piano player find each other, fall in love and soon end up on opposite sides of history.",The New York Times,"subject: Movies;creative_works: Cold War (Movie);persons: Pawlikowski, Pawel;persons: Kot, Tomasz;persons: Kulesza, Agata;persons: Szyc, Borys;persons: Kulig, Joanna;",2018-12-20T17:09:56+0000,981,‘Cold War’ Review: Love Without Borders,Critic’s Pick,,A Resonating Love Shall Guide You,,,,By Manohla Dargis,
If Beale Street Could Talk,If Beale Street Could Talk,12000000,"{id: 10749, name: Romance}, {id: 18, name: Drama}",en,"{english_name: English, iso_639_1: en, name: English}",http://www.bealestreet.movie,"After her fiance is falsely imprisoned, a pregnant African-American woman sets out to clear his name and prove his innocence.",11.604,120,20572691,2018-12-14,6.948,1101,"{iso_3166_1: US, name: United States of America}",https://www.nytimes.com/2018/12/12/movies/if-beale-street-could-talk-review.html,"The couple in this adaptation of James Baldwin’s novel are loving while black, an existential truth that is turned into a nightmare.",The New York Times,"subject: Movies;creative_works: If Beale Street Could Talk (Movie);persons: Jenkins, Barry;persons: Baldwin, James (1924-87);persons: James, Stephan (1993- );persons: Layne, KiKi;persons: Wittrock, Finn;",2018-12-12T21:30:02+0000,1057,‘If Beale Street Could Talk’ Review: Trusting Love in a World Ruled by Hate,Critic’s Pick,,Love Is Forced to Live in a Nightmare,,,,By Manohla Dargis,
Godard Mon Amour,Le Redoutable,12840746,"{id: 18, name: Drama}, {id: 10749, name: Romance}, {id: 35, name: Comedy}",fr,"{english_name: Czech, iso_639_1: cs, name: Český}, {english_name: French, iso_639_1: fr, name: Français}, {english_name: English, iso_639_1: en, name: English}, {english_name: Italian, iso_639_1: it, name: Italiano}",,"In 1967, during the making of “La Chinoise,” film director Jean-Luc Godard falls in love with 19-year-old actress Anne Wiazemsky and marries her.",10.063,108,82264,2017-06-24,6.651,350,"{iso_3166_1: MM, name: Myanmar}, {iso_3166_1: FR, name: France}",https://www.nytimes.com/2018/04/18/movies/godard-mon-amour-review.html,A portrait of a filmmaker in crisis that might have worked better as a comedy sketch.,The New York Times,"subject: Movies;creative_works: Godard Mon Amour (Movie);persons: Hazanavicius, Michel;persons: Godard, Jean-Luc;persons: Wiazemsky, Anne;persons: Garrel, Louis;",2018-04-18T23:02:46+0000,937,"Review: If You Love Godard, You’ll Hate-Watch ‘Godard Mon Amour’",,,"A Portrait and, for Some, a Hate-Watch",,,,By A.O. Scott,
The Party,The Party,1500000,"{id: 35, name: Comedy}",en,"{english_name: English, iso_639_1: en, name: English}",,"Hrundi V. Bakshi, an accident-prone actor from India, is accidentally put on the guest list for an upcoming party at the home of a Hollywood film producer. Unfortunately, from the moment he arrives, one thing after another goes wrong with compounding effect.",14.88,99,2900000,1968-04-04,7.286,740,"{iso_3166_1: US, name: United States of America}",https://www.nytimes.com/2018/02/15/movies/the-party-review-timothy-spall-kristin-scott-thomas.html,Sally Potter directs a very fine cast in a would-be comedy about a calamitously bad evening.,The New York Times,"subject: Movies;creative_works: The Party (Movie);persons: Potter, Sally;persons: Spall, Timothy;persons: Scott Thomas, Kristin;",2018-02-15T12:00:25+0000,598,Review: A London Night Goes Wrong in ‘The Party’,,,"  Invite Company. Because After All, Misery Loves It.",,,,By Manohla Dargis,
Lover for a Day,L'Amant d'un jour,0,"{id: 18, name: Drama}, {id: 10749, name: Romance}",fr,"{english_name: French, iso_639_1: fr, name: Français}",,"After a bad breakup, a college-aged Parisian moves into her father's flat only to discover that he is living with his new girlfriend - a young woman her age.",5.121,76,23692,2017-05-31,6.2,74,"{iso_3166_1: FR, name: France}",https://www.nytimes.com/2018/01/11/movies/lover-for-a-day-review-philippe-garrel.html,"In Philippe Garrel’s drama, a 23-year-old woman moves in with her father and his 23-year-old girlfriend. Complications ensue.",The New York Times,"subject: Movies;creative_works: Lover for a Day (Movie);persons: Garrel, Philippe;",2018-01-11T16:20:53+0000,863,Review: A Man and a Woman (and Another Woman) in ‘Lover for a Day’,,,A Love Triangle With Angles That Are Awkward,,,,By Manohla Dargis,
In Search of Fellini,In Search of Fellini,0,"{id: 18, name: Drama}, {id: 12, name: Adventure}",en,"{english_name: English, iso_639_1: en, name: English}",,"Lucy, a small-town girl from Ohio, discovers the delightfully bizarre films of legendary filmmaker Federico Fellini and sets off on a journey across Italy to find him.",4.265,93,0,2017-09-15,5.8,40,,https://www.nytimes.com/2017/09/14/movies/in-search-of-fellini-review.html,A sheltered young woman enamored of the films of the famous director sets off to Italy to meet him.,The New York Times,"subject: Movies;creative_works: In Search of Fellini (Movie);persons: Cartwright, Nancy;persons: Solo, Ksenia;persons: Lexton, Taron;",2017-09-14T11:00:24+0000,272,Review: Love of Il Maestro Drives ‘In Search of Fellini’,,,In Search of Fellini,,,,By Monica Castillo,
